Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ
,29,Harboro Road,,SALE,M33 5AN,79194903,79194903,208938,24/11/2025,,264854
,,,,,W21 UH,76003304,76003304,29538,28/11/2025,,
,,Biddenden Road,,TENTERDEN,TN30 6TA,8829131106,8829131106,71055,17/11/2025,,73009
,,Bryningfern Lane,,Preston,PR4 2BQ,52382901,52382901,24773,28/11/2025,,52382901
,,London Road,,HINDHEAD,GU26 6AG,6298105,6298105,347949,14/11/2025,,1482328
Riviera Restaurant,3,New Parade,,Chichester,PO20 0QA,74085906,74085906,178463,20/11/2025,,74085906
The Limes Residential Home,,Glebedale Road,,Stoke-on-Trent,ST4 3AP,75509006,75509006,128321,28/11/2025,,129349
Guest Automotive Limited,,Stansfield Road,,Todmorden,OL14 5DL,1856167601,1856167601,31781,16/11/2025,,40513
THE HUT,,Beaconsfield Road,,GATESHEAD,NE9 5EU,1252580602,1252580602,6647,16/11/2025,,
