Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ,Status
,,,,,,,9157884201,9157884201,,,74163,Unfound
,,,,,,,1348461300,1348461300,,,1348461300,Unfound
,,,,,,,59545108,59545108,,,133135,Unfound
,,,,,,,53660302,53660302,,,41586,Unfound
,,,,,,,4241928001,4241928001,,,4241928001,Unfound
,,,,,,,72238603,72238603,,,72269,Unfound
,,,,,,,3325334809,3325334809,,,3325334809,Unfound
,,,,,,,3390947209,3390947209,,,3390947209,Unfound
,,,,,,,65037501,65037501,,,36555,Unfound
,,,,,,,9216900801,9216900801,,,1134,Unfound
,,,,,,,4032456408,4032456408,,,81218,Unfound
,,,,,,,2453193510,2453193510,,,143747,Unfound
,,,,,,,2200022-47,2200022-47,,,,Unfound
,,,,,,,61783505,61783505,,,113829,Unfound
,,,,,,,1523876306,1523876306,,,15608,Unfound
,,,,,,,9083032903,9083032903,,,33716,Unfound
,,,,,,,52799104,52799104,,,61893,Unfound
,,,,,,,2515224600,2515224600,,,26052,Unfound
,,,,,,,9152126503,9152126503,,,39105,Unfound
,,,,,,,3319092702,3319092702,,,79680,Unfound
,,,,,,,8816892706,8816892706,,,26846,Unfound
,,,,,,,5090273805,5090273805,,,1,Unfound
,,,,,,,3300136307,3300136307,,,25701,Unfound
,,,,,,,235042-025,235042-025,,,,Unfound
,,,,,,,4208075501,4208075501,,,8962,Unfound
,,,,,,,66060108,66060108,,,6518,Unfound
,,,,,,,8842702100,8842702100,,,81345,Unfound
,,,,,,,17844802,17844802,,,10053,Unfound
,,,,,,,9156299106,9156299106,,,35838,Unfound
,,,,,,,50948309,50948309,,,74849,Unfound
,,,,,,,60006700,60006700,,,1,Unfound
,,,,,,,58200506,58200506,,,58200506,Unfound
,,,,,,,4194784805,4194784805,,,4194784805,Unfound
,,,,,,,72269805,72269805,,,57532,Unfound
,,,,,,,50480801,50480801,,,42792,Unfound
,,,,,,,17176607,17176607,,,75261,Unfound
,,,,,,,45134206,45134206,,,1,Unfound
,,,,,,,4256668302,4256668302,,,4256668302,Unfound
,,,,,,,8891551602,8891551602,,,12073,Unfound
,,,,,,,23563-6011,23563-6011,,,,Unfound
,,,,,,,9121434502,9121434502,,,747,Unfound
,,,,,,,4164764309,4164764309,,,4201,Unfound
,,,,,,,64927608,64927608,,,31688,Unfound
,,,,,,,1881384905,1881384905,,,23738,Unfound
,,,,,,,598755107,598755107,,,10,Unfound
,,,,,,,236339098-,236339098-,,,,Unfound
,,,,,,,5050480909,5050480909,,,25810,Unfound
,,,,,,,9219586006,9219586006,,,569,Unfound
,,,,,,,8843240407,8843240407,,,87984,Unfound
,,,,,,,1349421708,1349421708,,,1349421708,Unfound
,,,,,,,8881176809,8881176809,,,120920,Unfound
,,,,,,,516413109,516413109,,,1,Unfound
,,,,,,,9105364201,9105364201,,,11453,Unfound
,,,,,,,663588403,663588403,,,125657,Unfound
,,,,,,,60745301,60745301,,,59948,Unfound
,,,,,,,12000-0087,12000-0087,,,,Unfound
,,,,,,,49693802,49693802,,,18900,Unfound
,,,,,,,18971107,18971107,,,29711,Unfound
,,,,,,,3075950908,3075950908,,,59833,Unfound
,,,,,,,9158858901,9158858901,,,9158858901,Unfound
,,,,,,,5081523801,5081523801,,,106150,Unfound
,,,,,,,77147210,77147210,,,1,Unfound
,,,,,,,3402707510,3402707510,,,20783,Unfound
,,,,,,,60162602,60162602,,,174008,Unfound
,,,,,,,9186249008,9186249008,,,59833,Unfound
,,,,,,,48653504,48653504,,,310051,Unfound
,,,,,,,58014610,58014610,,,70955,Unfound
,,,,,,,8872401901,8872401901,,,336199,Unfound
