Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ
The Limes Residential Home,,Glebedale Road,,Stoke-on-Trent,ST4 3AP,,75509006,128321,28/11/2025,,129349
,,London Road,,HINDHEAD,GU26 6AG,,6298105,347949,14/11/2025,,1482328
Riviera Restaurant,3,New Parade,,Chichester,PO20 0QA,,74085906,178463,20/11/2025,,211237
,,,,,W21 UH,,76003304,29538,28/11/2025,,29884
