Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ,Status
,,,,,,,8861748008,8861748008,,,1,Unfound
,,,,,,,8816734407,8816734407,,,2709,Unfound
,,,,,,,8862590801,8862590801,,,1740,Unfound
,,,,,,,23 6530 7119 210,,,,,Unfound
,,,,,,,9171489502,9171489502,,,46950,Unfound
,,,,,,,4177067308,4177067308,,,1241,Unfound
,,,,,,,8853403505,8853403505,,,58961,Unfound
,,,,,,,9081867507,9081867507,,,35942,Unfound
,,,,,,,9081955403,9081955403,,,5,Unfound
,,,,,,,8854208905,8854208905,,,49607,Unfound
,,,,,,,8854456004,8854456004,,,8306,Unfound
,,,,,,,9082721607,9082721607,,,1,Unfound
,,,,,,,4252195500,4252195500,,,5738,Unfound
,,,,,,,4252720605,4252720605,,,45493,Unfound
,,,,,,,4185496406,4185496406,,,36929,Unfound
,,,,,,,8855118404,8855118404,,,31765,Unfound
,,,,,,,3926675603,3926675603,,,23073,Unfound
,,,,,,,9164301904,9164301904,,,1126,Unfound
,,,,,,,8937869309,8937869309,,,438604,Unfound
,,,,,,,17563603,17563603,,,71065,Unfound
,,,,,,,3939013903,3939013903,,,35001,Unfound
,,,,,,,8938344805,8938344805,,,36243,Unfound
,,,,,,,18223707,18223707,,,131787,Unfound
,,,,,,,18491710,18491710,,,67481,Unfound
,,,,,,,18651504,18651504,,,107489,Unfound
,,,,,,,8938696410,8938696410,,,61052,Unfound
,,,,,,,8857595505,8857595505,,,5707,Unfound
,,,,,,,8938997200,8938997200,,,1,Unfound
,,,,,,,1479709105,,,,,Unfound
,,,,,,,9080349610,9080349610,,,9080349610,Unfound
,,,,,,,4204258500,4204258500,,,27541,Unfound
,,,,,,,8930255709,8930255709,,,114798,Unfound
,,,,,,,4206599604,4206599604,,,1,Unfound
,,,,,,,8930265005,8930265005,,,58767,Unfound
,,,,,,,8850591506,8850591506,,,1,Unfound
,,,,,,,8930298503,8930298503,,,32084,Unfound
,,,,,,,8930302804,8930302804,,,1,Unfound
,,,,,,,4208914708,4208914708,,,45975,Unfound
,,,,,,,8930332701,8930332701,,,154244,Unfound
,,,,,,,8930350804,8930350804,,,15918,Unfound
,,,,,,,4210066207,4210066207,,,31520,Unfound
,,,,,,,4210264907,4210264907,,,15391,Unfound
,,,,,,,8931010504,8931010504,,,32521,Unfound
,,,,,,,4198304100,4198304100,,,1,Unfound
,,,,,,,8843334809,8843334809,,,69064,Unfound
,,,,,,,8843346502,8843346502,,,34410,Unfound
,,,,,,,4200986906,4200986906,,,2948,Unfound
,,,,,,,9144512703,9144512703,,,9144512703,Unfound
,,,,,,,8934052008,8934052008,,,1,Unfound
,,,,,,,6545102,6545102,,,6545102,Unfound
,,,,,,,7881980,7881980,,,7881980,Unfound
,,,,,,,4253407505,4253407505,,,4253407505,Unfound
,,,,,,,4203082203,4203082203,,,17494,Unfound
,,,,,,,9145091407,9145091407,,,7254,Unfound
,,,,,,,8919303301,8919303301,,,2007,Unfound
,,,,,,,8816837900,8816837900,,,49613,Unfound
,,,,,,,8849324006,8849324006,,,437053,Unfound
,,,,,,,8920304510,8920304510,,,49957,Unfound
,,,,,,,9171253304,9171253304,,,37310,Unfound
