Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ,Status
,,,,,,,128842,128842,,,128842,Unfound
,,,,,,,1822890271,1822890271,,,1822890271,Unfound
,,,,,,,134824,134824,,,134824,Unfound
,,,,,,,1213287680,1213287680,,,1213287680,Unfound
,,,,,,,124926,124926,,,124926,Unfound
,,,,,,,1452679030,1452679030,,,1452679030,Unfound
,,,,,,,135957,135957,,,135957,Unfound
,,,,,,,1759388573,1759388573,,,1759388573,Unfound
,,,,,,,107868,107868,,,107868,Unfound
,,,,,,,7739405623,7739405623,,,7739405623,Unfound
,,,,,,,195311,195311,,,195311,Unfound
,,,,,,,1159782517,1159782517,,,1159782517,Unfound
,,,,,,,279166,279166,,,279166,Unfound
,,,,,,,8712222290,8712222290,,,8712222290,Unfound
,,,,,,,109748,109748,,,109748,Unfound
,,,,,,,1591055055539,,,,,Unfound
,,,,,,,7455571514,7455571514,,,7455571514,Unfound
,,,,,,,149501,149501,,,149501,Unfound
,,,,,,,1904689775,1904689775,,,1904689775,Unfound
,,,,,,,118524,118524,,,118524,Unfound
,,,,,,,1902305741,1902305741,,,1902305741,Unfound
,,,,,,,153433,153433,,,153433,Unfound
,,,,,,,1217644448,1217644448,,,1217644448,Unfound
,,,,,,,353227,353227,,,353227,Unfound
,,,,,,,1212881482,1212881482,,,1212881482,Unfound
,,,,,,,1413455003007,,,,,Unfound
,,,,,,,115522,115522,,,115522,Unfound
,,,,,,,1159587080,1159587080,,,1159587080,Unfound
,,,,,,,103727,103727,,,103727,Unfound
,,,,,,,1133801970,1133801970,,,1133801970,Unfound
,,,,,,,122678,122678,,,122678,Unfound
,,,,,,,1924400741,1924400741,,,1924400741,Unfound
,,,,,,,1591011737062,,,,,Unfound
,,,,,,,119587,119587,,,119587,Unfound
,,,,,,,2313389009814,,,,,Unfound
,,,,,,,1384565666,1384565666,,,1384565666,Unfound
,,,,,,,106171,106171,,,106171,Unfound
,,,,,,,1159782531,1159782531,,,1159782531,Unfound
,,,,,,,123012,123012,,,123012,Unfound
,,,,,,,1639882255,1639882255,,,1639882255,Unfound
,,,,,,,164551,164551,,,164551,Unfound
,,,,,,,1242522243,1242522243,,,1242522243,Unfound
,,,,,,,202774,202774,,,202774,Unfound
,,,,,,,1217832315,1217832315,,,1217832315,Unfound
,,,,,,,107625,107625,,,107625,Unfound
,,,,,,,1213580900,1213580900,,,1213580900,Unfound
,,,,,,,132002,132002,,,132002,Unfound
,,,,,,,1626833283,1626833283,,,1626833283,Unfound
,,,,,,,155928,155928,,,155928,Unfound
,,,,,,,1526860359,1526860359,,,1526860359,Unfound
,,,,,,,153653,153653,,,153653,Unfound
,,,,,,,1752347774,1752347774,,,1752347774,Unfound
,,,,,,,140537,140537,,,140537,Unfound
,,,,,,,7825616065,7825616065,,,7825616065,Unfound
,,,,,,,111207,111207,,,111207,Unfound
,,,,,,,51916110,51916110,,,19007,Unfound
,,,,,,,1773810505,1773810505,,,1773810505,Unfound
,,,,,,,114211,114211,,,114211,Unfound
,,,,,,,1242234607,1242234607,,,1242234607,Unfound
,,,,,,,104989,104989,,,104989,Unfound
,,,,,,,1214863811,1214863811,,,1214863811,Unfound
,,,,,,,142389,142389,,,142389,Unfound
,,,,,,,130-133,130-133,,,,Unfound
,,,,,,,1904623779,1904623779,,,1904623779,Unfound
,,,,,,,7854311767,7854311767,,,7854311767,Unfound
,,,,,,,1100007915851,,,,,Unfound
,,,,,,,7710863867,7710863867,,,7710863867,Unfound
,,,,,,,1214303020,1214303020,,,1214303020,Unfound
,,,,,,,1522528524,1522528524,,,1522528524,Unfound
,,,,,,,1274530570,1274530570,,,1274530570,Unfound
,,,,,,,1215587585,1215587585,,,1215587585,Unfound
,,,,,,,2083373467,2083373467,,,2083373467,Unfound
,,,,,,,7747784948,7747784948,,,7747784948,Unfound
,,,,,,,1886884275,1886884275,,,1886884275,Unfound
,,,,,,,1623621885,1623621885,,,1623621885,Unfound
,,,,,,,1564822621,1564822621,,,1564822621,Unfound
,,,,,,,1522524498,1522524498,,,1522524498,Unfound
,,,,,,,1215515300,1215515300,,,1215515300,Unfound
,,,,,,,1214764077,1214764077,,,1214764077,Unfound
,,,,,,,1159789954,1159789954,,,1159789954,Unfound
,,,,,,,1159202115,1159202115,,,1159202115,Unfound
,,,,,,,1132794286,1132794286,,,1132794286,Unfound
,,,,,,,1216433006,1216433006,,,1216433006,Unfound
,,,,,,,1412815300006,,,,,Unfound
,,,,,,,1132382546,1132382546,,,1132382546,Unfound
,,,,,,,59748100,59748100,,,1,Unfound
,,,,,,,1484712925,1484712925,,,1484712925,Unfound
,,,,,,,1100005591429,,,,,Unfound
,,,,,,,1159410656,1159410656,,,1159410656,Unfound
,,,,,,,1215544623,1215544623,,,1215544623,Unfound
,,,,,,,1159792009,1159792009,,,1159792009,Unfound
,,,,,,,1132440099,1132440099,,,1132440099,Unfound
,,,,,,,1159879304,1159879304,,,1159879304,Unfound
,,,,,,,7745664545,7745664545,,,7745664545,Unfound
,,,,,,,1803314001,1803314001,,,1803314001,Unfound
,,,,,,,1274872845,1274872845,,,1274872845,Unfound
,,,,,,,1484320687,1484320687,,,1484320687,Unfound
,,,,,,,1274876624,1274876624,,,1274876624,Unfound
,,,,,,,1213737506,1213737506,,,1213737506,Unfound
,,,,,,,1507783839993,,,,,Unfound
,,,,,,,1159783576,1159783576,,,1159783576,Unfound
,,,,,,,1484718564,1484718564,,,1484718564,Unfound
,,,,,,,1013008575988,,,,,Unfound
,,,,,,,1484661528,1484661528,,,1484661528,Unfound
,,,,,,,1159596133,1159596133,,,1159596133,Unfound
,,,,,,,1159399265,1159399265,,,1159399265,Unfound
,,,,,,,1535665417,1535665417,,,1535665417,Unfound
,,,,,,,1274531920,1274531920,,,1274531920,Unfound
,,,,,,,1132382530,1132382530,,,1132382530,Unfound
,,,,,,,1216939929,1216939929,,,1216939929,Unfound
,,,,,,,7809146006,7809146006,,,7809146006,Unfound
,,,,,,,1943879914,1943879914,,,1943879914,Unfound
,,,,,,,1943839968,1943839968,,,1943839968,Unfound
,,,,,,,1924455444,1924455444,,,1924455444,Unfound
,,,,,,,1543480690,1543480690,,,1543480690,Unfound
,,,,,,,1484659596,1484659596,,,1484659596,Unfound
,,,,,,,1484537222,1484537222,,,1484537222,Unfound
,,,,,,,1413986011008,,,,,Unfound
,,,,,,,1484510932,1484510932,,,1484510932,Unfound
,,,,,,,1484424169,1484424169,,,1484424169,Unfound
,,,,,,,1430872315,1430872315,,,1430872315,Unfound
,,,,,,,1422205181,1422205181,,,1422205181,Unfound
,,,,,,,1274743733,1274743733,,,1274743733,Unfound
,,,,,,,1274611999,1274611999,,,1274611999,Unfound
,,,,,,,1274570301,1274570301,,,1274570301,Unfound
,,,,,,,1274390736,1274390736,,,1274390736,Unfound
,,,,,,,1132822264,1132822264,,,1132822264,Unfound
,,,,,,,1132783199,1132783199,,,1132783199,Unfound
,,,,,,,2312804421712,,,,,Unfound
,,,,,,,1132361530,1132361530,,,1132361530,Unfound
,,,,,,,2200030099217,,,,,Unfound
,,,,,,,1132306070,1132306070,,,1132306070,Unfound
,,,,,,,1159296765,1159296765,,,1159296765,Unfound
,,,,,,,1413074951000,,,,,Unfound
,,,,,,,1159229344,1159229344,,,1159229344,Unfound
,,,,,,,1132430274,1132430274,,,1132430274,Unfound
,,,,,,,1626336030,1626336030,,,1626336030,Unfound
,,,,,,,1684439243,1684439243,,,1684439243,Unfound
,,,,,,,54370208,54370208,,,1,Unfound
,,,,,,,1604633304,1604633304,,,1604633304,Unfound
,,,,,,,1803525100,1803525100,,,1803525100,Unfound
,,,,,,,1242676555,1242676555,,,1242676555,Unfound
,,,,,,,1278433334,1278433334,,,1278433334,Unfound
,,,,,,,1159614765,1159614765,,,1159614765,Unfound
,,,,,,,1395442227,1395442227,,,1395442227,Unfound
,,,,,,,7768644631,7768644631,,,7768644631,Unfound
,,,,,,,1623401966,1623401966,,,1623401966,Unfound
,,,,,,,1159282369,1159282369,,,1159282369,Unfound
,,,,,,,1460001651884,,,,,Unfound
,,,,,,,7795374373,7795374373,,,7795374373,Unfound
,,,,,,,8863743906,,,,,Unfound
,,,,,,,1416652791001,,,,,Unfound
,,,,,,,1213564402,1213564402,,,1213564402,Unfound
,,,,,,,1011606909,,,,,Unfound
,,,,,,,3301233155,3301233155,,,3301233155,Unfound
,,,,,,,1711619194200,,,,,Unfound
,,,,,,,1159400514,1159400514,,,1159400514,Unfound
,,,,,,,7936463876,7936463876,,,7936463876,Unfound
,,,,,,,1591046946711,,,,,Unfound
,,,,,,,1215591049,1215591049,,,1215591049,Unfound
,,,,,,,7787522378,7787522378,,,7787522378,Unfound
,,,,,,,1904448202,1904448202,,,1904448202,Unfound
,,,,,,,1907241007,1907241007,,,141895,Unfound
,,,,,,,1773716042,1773716042,,,1773716042,Unfound
,,,,,,,1752365553,1752365553,,,1752365553,Unfound
,,,,,,,2085306017,2085306017,,,2085306017,Unfound
,,,,,,,1217777465,1217777465,,,1217777465,Unfound
,,,,,,,1905423322,1905423322,,,1905423322,Unfound
,,,,,,,1159783467,1159783467,,,1159783467,Unfound
,,,,,,,1159500885,1159500885,,,1159500885,Unfound
,,,,,,,1623751164,1623751164,,,1623751164,Unfound
,,,,,,,1752220810,1752220810,,,1752220810,Unfound
,,,,,,,1159411114,1159411114,,,1159411114,Unfound
,,,,,,,7455712191,7455712191,,,7455712191,Unfound
,,,,,,,1159235083,1159235083,,,1159235083,Unfound
,,,,,,,1217481546,1217481546,,,1217481546,Unfound
,,,,,,,7443482818,7443482818,,,7443482818,Unfound
,,,,,,,1200020827180,,,,,Unfound
