Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ
SEASON ELECTRONICS LTD,UNIT 600,NEST BUSINESS PARK,,HAVANT,PO9 5TL,00845H87,2000027401869,,1/1/2027,E,
WHITE HORSE VINTAGE,,White Horse Lane,,LEICESTER,LE4 4EF,00845058,1100051241811,,30/12/2025,E,
,2,Wonastow Road,,MONMOUTH,NP25 5AH,03801N12,2199991618501,1102,10/2/2026,E,
,Unit 17,Broomhouse Lane Industrial Estate,,Doncaster,DN12 1EQ,0380102A,2334259678910,47,10/4/2027,E,
,205,Bramcote Lane,,Nottingham,NG8 2QJ,04031N12,1100005172990,65055,22/4/2026,E,
Eastheath House,,Eastheath Avenue,,Wokingham,RG41 2PR,03801H02,2000005184850,47760,2/11/2025,E,
Old Lamplight Works,,Ashcroft Road,,Liverpool,L33 7TW,03801D01,1300052601888,2432,3/6/2028,E,
The Bell Inn,,Sapperton,,Cirencester,GL7 6LE,00900N14,1410066171004,,1/5/2026,E,
Browns Woodworking,,Lancefield Place,,Corsham,SN13 0HZ,03801H07,2000006035928,6060,5/4/2027,E,
Ayton House,5TH,Ayton Road,,WYMONDHAM,NR18 0QJ,04807204,1012719532455,30522,1/2/2027,E,
Peter,,Lochloy Road,,NAIRN,IV12 5AE,00845S14,1712056452320,,1/11/2026,E,
,738,Oxford Road,,Reading,RG30 1EH,00900Q03,2000027372534,,18/7/2028,E,
,2,Mars Hill,,Lynmouth,EX35 6EF,04818251,2200014365642,,8/10/2028,E,
,,Rope Walk,,Southampton,SO31 4HB,00845H86,2000027463777,,1/10/2027,E,
,263,Oxford Road,,READING,RG1 7PY,00900456,2000055552140,,2/11/2025,E,
,64,North Street,,Bristal,BS3 1HJ,03500N12,2200015677373,8175,2/11/2025,E,
Ings View Service Station Ltd,,Shipton Road,,YORK,YO30 5RB,0780102C,1591052532753,,3/8/2026,E,
,80,LANCASTER STREET,,BIRMINGHAM,B4 7AR,03801N14,1412228111002,,2/11/2025,D,
Worcester Lodge,32,Castle Road,,CLEVEDON,BS21 7DE,00845N14,2200013194320,,1/5/2026,E,
,,Cottams Farm,,Accrington,BB5 5SB,00900424,1610022644453,,9/4/2027,E,
,4,Bridgewater Close,,Reading,RG30 1JT,00845H86,2000027371976,,4/7/2026,E,
