Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ
,61,Queen Street,,EDINBURGH,EH2 4NA,03801D03,1800023036810,17261,,E,
,70,Victoria Street,,PAIGNTON,TQ4 5DS,00845N14,2200030092903,,,E,
,95,London Road,,LEICESTER,LE2 0PF,03801N12,1100013360804,7100,,E,
,,,,,,5801203,5801203,5801203,5801203,,5801203
The Cut,264,Milton Road,,,BS22 8EN,03801110,2200013143609,2045,,E,
"Salad Days,Unit 9a-9e",,Tanfield Lea Industrial Estate North,,Stanley,DH9 9UU,0380102B,1591060590175,1112,,E,
Camelot Castle,,Tintagel,,,PL34 0DQ,03801N14,2200022226795,129568,,E,
,,189a Oxford Street,,Barrow-In-Furness,LA14 5QF,03801004,1610005800420,3671,,E,
,,Methodist Church,,Bideford,EX39 6AB,03046110,2200011657977,4196,,E,
,88a,Woodside Street,,COATBRIDGE,ML5 5NR,03801D02,1800015658393,6895,,E,
,123,Bridge Walk,,Biringham,B27 6SN,03801N12,1414217141002,5183,,E,
,,,,,,845072,845072,845072,845072,,845072
,65,Alexandra Road,,Morecambe,LA3 1RW,03801014,1640000286283,17269,,E,
,663,Chesterfield Road,,SHEFFIELD,S8 0RY,0380102A,2333340502816,13002,,E,
MOD,,148 Castle Street,,Angus,DD8 3HX,03095R69,1716733908154,31052,,E,
,218,London Road,,LEICESTER,LE2 1NE,03801N14,1100013362500,16052,,E,
Chemwaste Ltd,,Ladywood Way,,Dewsbury,WF13 3SG,0380102C,2355572467117,4241,,E,
,339,Kentish Town Road,,London,NW5 2TJ,03801202,1200030337341,155685,,E,
,75,Queen Street,,LEEDS,LS27 8EB,0481102C,2342876780417,15169,,E,
,,47-47a Villa Street,,London,SE17 2EL,00845072,1200051356943,,,E,
,,,,,,165177,165177,165177,165177,,165177
T/a The Lucky House,43,Salisbury Street,,Blandford Forum,DT11 7PX,03801H02,2000022192152,9552,,E,
,,,,,,4808202,4808202,4808202,4808202,,4808202
192/193,,Speldhurst Close,,KENT,TN23 5TS,03801204,1900028217847,55071,,E,
,4,Mowbray Drive,,Blackpool,FY3 7JR,03801024,1610003635241,8541,,E,
Unit 02A,,Parkway Development,,Sheffield,S9 4WN,0380102D,2300000740007,70172,,E,
Shop;5a,,,,Bognor Regis,PO21 4TW,03801H02,2000019175235,23099,,E,
BAY 2,,GARTSHORE BUILDINGS,,Perth,PH2 8BB,03801R51,1717015796006,10,,E,
,,25 Frith Street,,LONDON,W1D 5LB,03802202,1200035720570,11265,,E,
,55,St Mary's Place,,Nottingham,NG1 1PH,03801013,1100005315480,1061,,E,
CARSEVIEW ROAD,,,,FORFAR,DD8 3BT,00845P82,1716740950550,,,E,
,,,,CARDIGAN,SA43 3DG,04146N12,2199999215247,3660,,E,
,3,Peter Street,,ALTRINCHAM,WA14 2DZ,03801204,1610027488044,27291,,E,
35-37,,Park Royal Road,,LONDON,NW10 7LQ,00845H86,2000053427554,,,E,
,,,,,,1010/2025,1010/2025,1010/2025,1010/2025,,
