Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ
,65,Alexandra Road,,Morecambe,LA3 1RW,03801014,1640000286283,17269,14/11/2026,E,
,7,Shropshire Street,,Market Drayton,TF9 3BZ,04811N14,1413029620000,30725,17/5/2027,E,
,1202,WALKER ROAD,,NEWCASTLE UPON TYNE,NE6 3JN,0084502C,1591053761702,,1/4/2027,E,
Lethan Arms,,Cookston Road,,ABERDEEN,AB12 4PT,03801P09,1714372172505,49118,1/8/2027,E,
Northern Freight,,1-2 Kitching Road,,Peterlee,SR8 2HP,05800998,1592001132371,,2/11/2025,D,
,10,Kennet Road,,DARTFORD,DA1 4QN,03801204,1200034612641,50731,25/5/2026,E,
,86b&c,C Crewe Road,,Stoke On Trent,ST7 2JA,03801D04,1300008308962,155492,20/10/2026,E,
,220,Sheffield Road,,Barnsley,S70 4PF,0350002B,2330917170910,13638,1/11/2027,E,
,,"The Promenade, Clifton Down",,BRISTOL,BS8 3NJ,03801N14,2200015860503,26685,8/5/2027,E,
,2-4,WATTS LANE,,TEDDINGTON,TW11 8HQ,03801202,1900043007882,20256,1/12/2026,E,
BAY 2,,GARTSHORE BUILDINGS,,Perth,PH2 8BB,03801R51,1717015796006,10,13/12/2026,E,
Burnham Beeches Golf Club,,Green Lane,,Slough,SL1 8EG,04024143,2000004964650,6718,1/10/2027,E,
Unit 2,332-334,Walworth Road,,London,SE17 2NA,00845204,1200041202243,,3/12/2026,E,
"Wecock,Community Centre",,Kite Close,,Waterlooville,PO8 9UU,00900H86,2000052538082,,26/5/2028,E,
,,Unit 5 Green Lane,,Tewkesbury,GL20 8HD,00845L04,1414823181001,,24/7/2026,E,
,1339,Ashton Old Road,,Manchester,M11 1JT,03801004,1610001363994,9250,1/8/2026,E,
,,South Efford House,,Kingsbridge,TQ7 4NX,00800203,2200030101512,,2/11/2025,D,
,,Unit 12,,WASHINGTON,NE38 8QP,0380102A,1580000057388,2645,23/10/2026,E,
Phoenix Dryers & Engineering,,Carlinghurst Road,,Blackburn,BB2 1PN,05808054,1620000789238,87981,29/5/2026,E,
Old Brewery,,Shore Street,,Barrow In Furness,LA14 2UB,03801004,1610005665985,20122,2/11/2027,E,
,117,Sydney Street,,London,SW3 6NR,03801203,1200025733224,5491,1/10/2026,E,
,184,Park Avenue,,LONDON,NW10 7XL,00845071,1014570226070,,1/10/2026,E,
Health Centre,133,Glover Street,,Perth,PH2 0JB,00845P81,1717014025436,,1/1/2026,E,
Dry Cleaners,,Station Parade,,Maidenhead,SL6 9BR,00845H86,2000027394635,,8/2/2028,E,
Global Optics UK Ltd,,"UNIT 6, BRANKSTONE BUSINESS PARK",,POOLE,BH12 1DW,03801H2C,2400000096765,9238,26/9/2027,E,
,29,Swinegate,,York,YO1 8AZ,0380102D,1591016352751,155967,5/3/2027,E,
,,Bath Road,,READING,RG7 5RH,03801H02,2000011418309,3766,2/11/2025,E,
Unit 14,,Churchill Way,,Nelson,BB9 6RT,03801014,1630000750821,7112,2/11/2025,E,
,Unit 23,Pitcliffe Way,,Bradford,BD5 7SG,0380102B,2312517147510,25357,1/6/2026,E,
Horns Cross Repair,,,,BIDEFORD,EX39 5DH,03801N12,2200040111119,10879,27/10/2026,E,
SAM TAYLOR HAIRDRESSER,,U 3 Hall Pk Centre,,LYTHAM ST. ANNES,FY8 4QF,03500144,1610004635934,5838,3/11/2027,E,
Miners Arms,136,Mina Road,,Bristol,BS2 9YQ,03801110,2200017215105,,2/11/2025,E,
,11-15,Unit 3,,London,NW10 6PT,03801H09,2000027294610,38041,4/6/2026,E,
30 New John Street West,,,,Birmingham,B19 3NB,03801N12,1415178431004,6435,4/7/2026,E,
EAST DARTMOOR BAPTIST CHURCH,,Hind Street,,NEWTON ABBOT,TQ13 9HT,03500110,2200020391734,2585,18/5/2028,E,
,,Molefre,,Gwynedd,LL72 8NN,03801D03,1300011906894,19247,28/10/2026,E,
,,14 Otley Road,,Shipley,BD17 7SE,0084505A,2316513776017,,13/10/2027,E,
,20,Rose Green Road,,Bognor Regis,PO21 3ET,03801H01,2000019016800,5334,1/6/2026,E,
Crown Hotel,,North Scale,,BARROW-IN-FURNESS,LA14 3RP,03801274,1610005549602,79473,7/11/2027,E,
Unit 4 Anchor Buildings,,Battle Road,,Newton Abbot,TQ12 6RY,03801N14,2200020359615,56318,9/9/2026,E,
Unit 18,,"Mile Oak Industrial Estate, Maesbury Road",,Oswestry,SY10 8GA,04811D04,1300035434197,,26/2/2026,E,
"Unit 5, Marlin House",,Marlins Meadow,,WATFORD,WD18 8TE,00800202,1014570143041,,2/11/2025,D,
Unit D & E,,Carlinghurst Road Business Park,,Blackburn,BB2 1PQ,03801274,1610022147391,37012,31/10/2026,E,
,17,Blackstock Road,,London,N4 2JF,03801204,1200052325078,25251,1/12/2025,E,
,187,Findon Road,,Worthing,BN14 0EP,03800202,1900034400264,,2/11/2025,D,
,19,Promenade,,CHELTENHAM,GL50 1LP,04811N12,1419191071007,32478,4/6/2026,E,
1 Beechwood Cottages,,Roman Road,,Blackburn,BB1 2LB,03801144,1610022131745,12451,2/11/2026,E,
Brighton & Hove Reform Synagogue,,Palmeira Avenue,,Hove,BN3 3GE,00845071,1900014001063,,8/11/2027,E,
"Care Home, Park Farm House",,Parkfield,,BRISTOL,BS16 9NS,01801010,2200017648142,32143,31/5/2026,E,
,29,Gordon Avenue,,STANMORE,HA7 2RL,04138204,1014572225928,157622,1/1/2026,E,
,,Ruthvenfield Avenue,,PERTH,PH1 3WB,03801P06,1700051174047,3755,2/11/2025,E,
"Salad Days,Unit 9a-9e",,Tanfield Lea Industrial Estate North,,Stanley,DH9 9UU,0380102B,1591060590175,1112,29/7/2027,E,
,30-32,Courtenay Street,,NEWTON ABBOT,TQ12 2DT,04807N13,2200040246952,15498,2/11/2025,E,
,202,St Andrew's Road,,Bridport,DT6 3BS,00845540,2200030052593,,27/7/2026,E,
The Cut,264,Milton Road,,,BS22 8EN,03801110,2200013143609,2045,9/6/2026,E,
Brig Inn,9,Ellon Road,,Aberdeen,AB23 8EB,03094P29,1714679972401,58689,10/7/2027,E,
,125,Queens Road,,BRIGHTON,BN1 3WB,03801203,1900030389244,9892,2/11/2025,E,
Unit 6D,,Castle Street Ind Est,,Alloa,FK10 1EU,03801D02,1800019304773,8268,25/6/2026,E,
Hartley Farm,,Hartley,,Bradford-on-Avon,BA15 2JB,00845H87,2000006209832,,4/11/2026,E,
,,The Glyntwrog inn,,Caernarfon,LL55 4AN,00845D04,1300035431568,,18/11/2027,E,
Radius,Whitefriar,Lewins Mead,,BRISTOL,BS1 2NT,07802N14,2200017169753,59583,2/11/2025,E,
,34,Francis Grove,,London,SW19 4DT,03801204,1200030558770,37291,7/12/2026,E,
,116-118,Roman Road,,LONDON,E2 0RN,04874202,1200033366683,3984,21/8/2026,E,
,,47-47a Villa Street,,London,SE17 2EL,00845072,1200051356943,,15/11/2026,E,
,35,Fore Street,,Totnes,TQ9 5HN,03801110,2200020819785,1004,30/10/2027,E,
Orpington Village Halls Trust,311,High Street,,Orpington Village Hall,BR6 0NN,00900071,1900090572186,,25/6/2026,E,
Unit 3,,Northway Lane,,Tewkesbury,GL20 8JG,03800007,1460001494272,,2/11/2025,D,
Unit 7B,,Castle Way,,Caldicot,NP26 5PR,03801N13,2199991592304,848,29/6/2026,E,
,,Black Lion Court,,Congleton,CW12 1BD,03800007,1413856530005,,2/11/2025,D,
